dataset,seed_a,seed_b,layer_i,layer_j,same_depth,metric,value
cifar10,42,123,3,4,False,cka,0.911788821220398
cifar10,42,123,3,4,False,cosine,0.34279534220695496
cifar10,42,123,3,4,False,svcca,0.6446926162539711
cifar10,42,123,3,4,False,pwcca,0.8993682863012016
cifar10,42,123,4,1,False,cka,0.7719151377677917
cifar10,42,123,4,1,False,cosine,0.22673968970775604
cifar10,42,123,4,1,False,svcca,0.7207115393923544
cifar10,42,123,4,1,False,pwcca,0.8555811132149929
cifar10,42,123,4,2,False,cka,0.8295645117759705
cifar10,42,123,4,2,False,cosine,0.36463478207588196
cifar10,42,123,4,2,False,svcca,0.6433006791383259
cifar10,42,123,4,2,False,pwcca,0.9143864381626114
cifar10,42,123,4,3,False,cka,0.8782004117965698
cifar10,42,123,4,3,False,cosine,0.37214377522468567
cifar10,42,123,4,3,False,svcca,0.6437606770757152
cifar10,42,123,4,3,False,pwcca,0.9164864605683783
cifar10,42,123,4,4,True,cka,0.9205217361450195
cifar10,42,123,4,4,True,cosine,0.39681267738342285
cifar10,42,123,4,4,True,svcca,0.6670349301822562
cifar10,42,123,4,4,True,pwcca,0.9230949202307578
cifar10,42,456,1,1,True,cka,0.9302316308021545
cifar10,42,456,1,1,True,cosine,0.17602895200252533
cifar10,42,456,1,1,True,svcca,0.7299410529023764
cifar10,42,456,1,1,True,pwcca,0.9061532332956553
cifar10,42,456,1,2,False,cka,0.8992105722427368
cifar10,42,456,1,2,False,cosine,0.21063347160816193
cifar10,42,456,1,2,False,svcca,0.8111897756812518
cifar10,42,456,1,2,False,pwcca,0.9317025916132889
cifar10,42,456,1,3,False,cka,0.8405333161354065
cifar10,42,456,1,3,False,cosine,0.20220690965652466
cifar10,42,456,1,3,False,svcca,0.7832448260279561
cifar10,42,456,1,3,False,pwcca,0.9172543815019023
cifar10,42,456,1,4,False,cka,0.7568783760070801
cifar10,42,456,1,4,False,cosine,0.2403096705675125
cifar10,42,456,1,4,False,svcca,0.7449960238532797
cifar10,42,456,1,4,False,pwcca,0.8947294919913944
cifar10,42,456,2,1,False,cka,0.9072941541671753
cifar10,42,456,2,1,False,cosine,0.26923665404319763
cifar10,42,456,2,1,False,svcca,0.7628926141077237
cifar10,42,456,2,1,False,pwcca,0.8904273063855728
cifar10,42,456,2,2,True,cka,0.9234265089035034
